"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Header/commandn.hpp", "C++", 20, 0, 8, 8, 36
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Header/commands.hpp", "C++", 20, 0, 8, 8, 36
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Header/countline.hpp", "C++", 8, 0, 6, 6, 20
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Header/log4me.hpp", "C++", 11, 0, 7, 6, 24
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Header/welcome.hpp", "C++", 11, 0, 6, 6, 23
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Source/commandn.cpp", "C++", 330, 0, 13, 8, 351
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Source/commands.cpp", "C++", 436, 0, 24, 8, 468
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Source/countline.cpp", "C++", 12, 0, 6, 3, 21
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Source/log4me.cpp", "C++", 51, 0, 12, 8, 71
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Source/main.cpp", "C++", 102, 0, 22, 14, 138
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Source/welcome.cpp", "C++", 15, 0, 6, 2, 23
"/Users/rainchen/CodingSpace/Pineapple/README.md", "Markdown", 0, 61, 0, 50, 111
"Total", "-", 1016, 61, 118, 127, 1322